time,discharge
2016-01-09,0.196732712
2016-01-10,0.19199865
2016-01-11,0.187264588
2016-01-12,0.182530526
2016-01-13,0.17779646400000002
2016-01-14,0.173062402
2016-01-15,0.16832834000000002
2016-01-16,0.163594278
2016-01-17,0.19123278200000002
2016-01-18,0.218871286
2016-01-19,0.24650979
2016-01-20,0.274148294
2016-01-21,0.301786798
2016-01-22,0.29112636008333337
2016-01-23,0.28046592216666666
2016-01-24,0.26980548425
2016-01-25,0.25914504633333335
2016-01-26,0.2484846084166667
2016-01-27,0.23782417050000002
2016-01-28,0.22716373258333333
2016-01-29,0.21650329466666668
2016-01-30,0.20584285675000003
2016-01-31,0.19518241883333334
2016-02-01,0.18452198091666666
2016-02-02,0.173861543
2016-02-03,0.18641310957142856
2016-02-04,0.19896467614285715
2016-02-05,0.2115162427142857
2016-02-06,0.2240678092857143
2016-02-07,0.23661937585714285
2016-02-08,0.2491709424285714
2016-02-09,0.261722509
2016-02-10,0.2522123102
2016-02-11,0.2427021114
2016-02-12,0.2331919126
2016-02-13,0.22368171380000001
2016-02-14,0.214171515
2016-02-15,0.2089043465714286
2016-02-16,0.20363717814285714
2016-02-17,0.19837000971428573
2016-02-18,0.19310284128571428
2016-02-19,0.18783567285714287
2016-02-20,0.18256850442857142
2016-02-21,0.177301336
2016-02-22,0.19482099666666666
2016-02-23,0.21234065733333335
2016-02-24,0.229860318
2016-02-25,0.22209414300000002
2016-02-26,0.214327968
2016-02-27,0.21159655485714288
2016-02-28,0.20886514171428572
2016-02-29,0.2061337285714286
2016-03-01,0.20340231542857143
2016-03-02,0.2006709022857143
2016-03-03,0.19793948914285714
2016-03-04,0.195208076
2016-03-05,0.2050068526
2016-03-06,0.21480562920000001
2016-03-07,0.22460440580000002
2016-03-08,0.2344031824
2016-03-09,0.244201959
2016-03-10,0.238840323
2016-03-11,0.233478687
2016-03-12,0.22811705100000002
2016-03-13,0.222755415
2016-03-14,0.217393779
2016-03-15,0.212032143
2016-03-16,0.206670507
2016-03-17,0.22049724240000002
2016-03-18,0.2343239778
2016-03-19,0.2481507132
2016-03-20,0.2619774486
2016-03-21,0.275804184
2016-03-22,0.2651535324285714
2016-03-23,0.25450288085714284
2016-03-24,0.2438522292857143
2016-03-25,0.2332015777142857
2016-03-26,0.22255092614285715
2016-03-27,0.21190027457142857
2016-03-28,0.201249623
2016-03-29,0.200111137
2016-03-30,0.198972651
2016-03-31,0.19783416499999998
2016-04-01,0.19669567899999998
2016-04-02,0.195557193
2016-04-03,0.21810063266666666
2016-04-04,0.24064407233333335
2016-04-05,0.263187512
2016-04-06,0.2688936585
2016-04-07,0.27459980500000003
2016-04-08,0.2803059515
2016-04-09,0.286012098
2016-04-10,0.30665832866666665
2016-04-11,0.32730455933333336
2016-04-12,0.34795079
2016-04-13,0.368440147
2016-04-14,0.388929504
2016-04-15,0.38559948666666666
2016-04-16,0.38226946933333333
2016-04-17,0.378939452
2016-04-18,0.39301337975
2016-04-19,0.4070873075
2016-04-20,0.42116123525
2016-04-21,0.435235163
2016-04-22,0.426721845
2016-04-23,0.418208527
2016-04-24,0.409695209
2016-04-25,0.401181891
2016-04-26,0.39266857299999997
2016-04-27,0.384155255
2016-04-28,0.375641937
2016-04-29,0.367128619
2016-04-30,0.36859661125
2016-05-01,0.37006460350000003
2016-05-02,0.37153259575
2016-05-03,0.373000588
2016-05-04,0.384021711
2016-05-05,0.395042834
2016-05-06,0.406063957
2016-05-07,0.43744185199999996
2016-05-08,0.468819747
2016-05-09,0.500197642
2016-05-10,0.531575537
2016-05-11,0.562953432
2016-05-12,0.54152659425
2016-05-13,0.5200997565000001
2016-05-14,0.49867291874999997
2016-05-15,0.477246081
2016-05-16,0.5006423083333333
2016-05-17,0.5240385356666667
2016-05-18,0.547434763
2016-05-19,0.43406945550000003
2016-05-20,0.320704148
2016-05-21,0.3196024396666667
2016-05-22,0.31850073133333334
2016-05-23,0.317399023
2016-05-24,0.298593899
2016-05-25,0.279788775
2016-05-26,0.260983651
2016-05-27,0.242178527
2016-05-28,0.2629404578
2016-05-29,0.2837023886
2016-05-30,0.3044643194
2016-05-31,0.3252262502
2016-06-01,0.345988181
2016-06-02,0.3923563976666667
2016-06-03,0.4387246143333333
2016-06-04,0.485092831
2016-06-05,0.53640662725
2016-06-06,0.5877204235
2016-06-07,0.63903421975
2016-06-08,0.690348016
2016-06-09,0.6762875606296296
2016-06-10,0.6622271052592592
2016-06-11,0.6481666498888888
2016-06-12,0.6341061945185185
2016-06-13,0.6200457391481481
2016-06-14,0.6059852837777777
2016-06-15,0.5919248284074073
2016-06-16,0.577864373037037
2016-06-17,0.5638039176666666
2016-06-18,0.5497434622962962
2016-06-19,0.5356830069259259
2016-06-20,0.5216225515555555
2016-06-21,0.5075620961851852
2016-06-22,0.4935016408148148
2016-06-23,0.4794411854444444
2016-06-24,0.46538073007407404
2016-06-25,0.45132027470370367
2016-06-26,0.4372598193333333
2016-06-27,0.4231993639629629
2016-06-28,0.40913890859259255
2016-06-29,0.3950784532222222
2016-06-30,0.3810179978518518
2016-07-01,0.36695754248148144
2016-07-02,0.3528970871111111
2016-07-03,0.33883663174074075
2016-07-04,0.3247761763703704
2016-07-05,0.310715721
2016-07-06,0.3106871526
2016-07-07,0.31065858420000003
2016-07-08,0.3106300158
2016-07-09,0.3106014474
2016-07-10,0.310572879
2016-07-11,0.31878007414285714
2016-07-12,0.3269872692857143
2016-07-13,0.3351944644285714
2016-07-14,0.3434016595714286
2016-07-15,0.3516088547142857
2016-07-16,0.3598160498571429
