time,discharge,width_averaged_thickness,width_averaged_thickness_bedmachine
2016-01-16,0.195468566,289.1991,294.3438
2016-01-17,0.19448276508333334,289.1991,294.3438
2016-01-18,0.19349696416666667,289.1991,294.3438
2016-01-19,0.19251116325,289.1991,294.3438
2016-01-20,0.19152536233333334,289.1991,294.3438
2016-01-21,0.19053956141666667,289.1991,294.3438
2016-01-22,0.1895537605,289.1991,294.3438
2016-01-23,0.18856795958333333,289.1991,294.3438
2016-01-24,0.18758215866666667,289.1991,294.3438
2016-01-25,0.18659635775,289.1991,294.3438
2016-01-26,0.18561055683333333,289.1991,294.3438
2016-01-27,0.18462475591666666,289.1991,294.3438
2016-01-28,0.183638955,289.1991,294.3438
2016-01-29,0.18265315408333332,289.1991,294.3438
2016-01-30,0.18166735316666668,289.1991,294.3438
2016-01-31,0.18068155225000002,289.1991,294.3438
2016-02-01,0.17969575133333335,289.1991,294.3438
2016-02-02,0.17870995041666668,289.1991,294.3438
2016-02-03,0.1777241495,289.1991,294.3438
2016-02-04,0.17673834858333334,289.1991,294.3438
2016-02-05,0.17575254766666668,289.1991,294.3438
2016-02-06,0.17476674675,289.1991,294.3438
2016-02-07,0.17378094583333334,289.1991,294.3438
2016-02-08,0.17279514491666667,289.1991,294.3438
2016-02-09,0.171809344,289.1991,294.3438
2016-02-10,0.17238743508333335,289.1991,294.3438
2016-02-11,0.17296552616666666,289.1991,294.3438
2016-02-12,0.17354361725,289.1991,294.3438
2016-02-13,0.17412170833333335,289.1991,294.3438
2016-02-14,0.17469979941666666,289.1991,294.3438
2016-02-15,0.1752778905,289.1991,294.3438
2016-02-16,0.17585598158333335,289.1991,294.3438
2016-02-17,0.17643407266666666,289.1991,294.3438
2016-02-18,0.17701216375,289.1991,294.3438
2016-02-19,0.17759025483333335,289.1991,294.3438
2016-02-20,0.17816834591666666,289.1991,294.3438
2016-02-21,0.178746437,289.1991,294.3438
2016-02-22,0.17749512625,289.1991,294.3438
2016-02-23,0.1762438155,289.1991,294.3438
2016-02-24,0.17499250475,289.1991,294.3438
2016-02-25,0.17374119400000002,289.1991,294.3438
2016-02-26,0.17248988325,289.1991,294.3438
2016-02-27,0.17123857250000002,289.1991,294.3438
2016-02-28,0.16998726175,289.1991,294.3438
2016-02-29,0.168735951,289.1991,294.3438
2016-03-01,0.16748464025,289.1991,294.3438
2016-03-02,0.1662333295,289.1991,294.3438
2016-03-03,0.16498201875000001,289.1991,294.3438
2016-03-04,0.163730708,289.1991,294.3438
