,time,discharge,u_error,l_error,width_averaged_thickness,width_averaged_thickness_bedmachine
0,16/01/2016,0.199390329,0.057242415,0.079712235,305.35367,302.1706
1,09/02/2016,0.188045606,0.054007198,0.075000969,305.35367,302.1706
2,21/02/2016,0.17850222,0.058792391,0.074357672,305.35367,302.1706
3,04/03/2016,0.16485816,0.052205473,0.067836884,305.35367,302.1706
4,05/04/2016,0.205234334,0.165795356,0.133515991,305.35367,302.1706
5,09/04/2016,0.16880599,0.105905619,0.094341511,305.35367,302.1706
6,17/04/2016,0.209144275,0.12394447,0.114463433,305.35367,302.1706
7,21/04/2016,0.206803994,0.077915314,0.091277311,305.35367,302.1706
8,03/05/2016,0.22102073,0.077614345,0.094619175,305.35367,302.1706
9,15/05/2016,0.312216129,0.086609546,0.12316117,305.35367,302.1706
10,01/06/2016,0.192479582,0.072775002,0.085490394,305.35367,302.1706
11,04/06/2016,0.3106177,0.095842325,0.12874481,305.35367,302.1706
12,08/06/2016,0.354238735,0.083430627,0.131186186,305.35367,302.1706
13,05/07/2016,0.290465217,0.07896042,0.114911023,305.35367,302.1706
14,10/07/2016,0.267347899,0.073985532,0.1058745,305.35367,302.1706
15,26/07/2016,0.230026376,0.05562784,0.085713045,305.35367,302.1706
16,29/07/2016,0.294402931,0.065916738,0.108213649,305.35367,302.1706
17,07/08/2016,0.180538107,0.047572603,0.069553106,305.35367,302.1706
18,10/08/2016,0.256019899,0.06174368,0.096627207,305.35367,302.1706
19,19/08/2016,0.181871883,0.046496348,0.068917009,305.35367,302.1706
20,27/08/2016,0.275222832,0.071056387,0.106096486,305.35367,302.1706
21,31/08/2016,0.190180548,0.074966641,0.085871479,305.35367,302.1706
22,03/09/2016,0.240856762,0.066470309,0.094528832,305.35367,302.1706
23,08/09/2016,0.172912947,0.054536419,0.071306546,305.35367,302.1706
24,15/09/2016,0.148952232,0.070607392,0.073378075,305.35367,302.1706
25,20/09/2016,0.158528945,0.051594313,0.06600806,305.35367,302.1706
26,24/09/2016,0.178467946,0.071357005,0.080294774,305.35367,302.1706
27,12/10/2016,0.160408028,0.078199949,0.079523526,305.35367,302.1706
28,14/10/2016,0.134995859,0.065351056,0.066331112,305.35367,302.1706
29,21/10/2016,0.130943043,0.086177755,0.075003807,305.35367,302.1706
30,26/10/2016,0.16286783,0.089091865,0.086267624,305.35367,302.1706
31,30/10/2016,0.202646136,0.125490826,0.113182821,305.35367,302.1706
32,07/11/2016,0.137605818,0.08649648,0.077768562,305.35367,302.1706
33,11/11/2016,0.156826059,0.081464649,0.079918334,305.35367,302.1706
34,23/11/2016,0.176712619,0.064152603,0.077267975,305.35367,302.1706
35,26/11/2016,0.162808635,0.08607369,0.084050832,305.35367,302.1706
36,29/11/2016,0.174410604,0.058123536,0.073636327,305.35367,302.1706
37,08/12/2016,0.149651347,0.071489195,0.072972587,305.35367,302.1706
38,20/12/2016,0.148810998,0.054393551,0.064872216,305.35367,302.1706
39,25/12/2016,0.169899337,0.055591466,0.07071143,305.35367,302.1706
40,01/01/2017,0.153783989,0.08002696,0.078702759,304.5579,302.1706
41,04/01/2017,0.160876431,0.061999454,0.071458732,304.5579,302.1706
42,13/01/2017,0.156930173,0.059402361,0.069323011,304.5579,302.1706
43,28/01/2017,0.164913643,0.086543497,0.084436013,304.5579,302.1706
44,06/02/2017,0.156937535,0.046047663,0.062585259,304.5579,302.1706
45,09/02/2017,0.178377281,0.092146715,0.090307381,304.5579,302.1706
46,12/02/2017,0.162956786,0.048802021,0.065700292,304.5579,302.1706
47,15/02/2017,0.191357523,0.097504021,0.096777045,304.5579,302.1706
48,18/02/2017,0.151662315,0.050396921,0.063784188,304.5579,302.1706
49,05/03/2017,0.18119976,0.061450065,0.076912218,304.5579,302.1706
50,07/03/2017,0.167011809,0.05362498,0.069451377,304.5579,302.1706
51,11/03/2017,0.173323775,0.060201805,0.074281414,304.5579,302.1706
52,14/03/2017,0.133441211,0.051018024,0.058883712,304.5579,302.1706
53,17/03/2017,0.162517847,0.094767291,0.087300455,304.5579,302.1706
54,26/03/2017,0.157186068,0.073386348,0.075898324,304.5579,302.1706
55,29/03/2017,0.166013142,0.083227954,0.083254178,304.5579,302.1706
