,time,discharge,u_error,l_error,width_averaged_thickness,width_averaged_thickness_bedmachine
0,2016-01-16,0.1879129742892012,0.06117391525206223,0.07923577126788121,260.3347,254.50697
1,2016-02-24,0.16675838936295787,0.05882651650918111,0.0723524949869936,260.3347,254.50697
2,2016-03-16,0.16113253558205304,0.05271536927836215,0.06797509904054304,260.3347,254.50697
3,2016-03-28,0.17329546154465936,0.04788674561752668,0.0684040706907859,260.3347,254.50697
4,2016-04-05,0.2138783423291087,0.15211698897865825,0.13190816992504134,260.3347,254.50697
5,2016-04-09,0.21468020014887793,0.12591112950846187,0.11868547408695959,260.3347,254.50697
6,2016-04-17,0.23496584037981327,0.12965933419724485,0.12574253390628404,260.3347,254.50697
7,2016-05-03,0.2509668255531105,0.07542447268366015,0.10181105241503483,260.3347,254.50697
8,2016-05-06,0.25305222922252923,0.08039867719991012,0.10492668449821926,260.3347,254.50697
9,2016-06-01,0.21937979853845005,0.07114073145803121,0.0915667362189588,260.3347,254.50697
10,2016-06-08,0.4724445796140742,0.10282527411434922,0.17087211753759818,260.3347,254.50697
11,2016-07-05,0.2670626233465563,0.07239946349754417,0.10552224026149415,260.3347,254.50697
12,2016-07-26,0.1464506116943189,0.041052393543570015,0.057522325248743414,260.3347,254.50697
13,2016-08-03,0.22981305259253695,0.055583710231849354,0.08712880596913464,260.3347,254.50697
14,2016-08-07,0.12453678268469058,0.032735369189035565,0.04825384777655348,260.3347,254.50697
15,2016-08-19,0.13197336815519034,0.03956226291854867,0.053643070518233665,260.3347,254.50697
16,2016-09-03,0.1350277605067228,0.04640495527027716,0.058218416808109186,260.3347,254.50697
17,2016-09-12,0.13514916757074938,0.05213299670333568,0.06077896760278753,260.3347,254.50697
18,2016-09-24,0.10679563005388451,0.060444166860294135,0.05857542019912896,260.3347,254.50697
19,2016-10-12,0.1365801153883958,0.07080927584482155,0.07178587485660623,260.3347,254.50697
20,2016-10-14,0.10990308369611364,0.059028874917861865,0.057817560002415225,260.3347,254.50697
21,2016-10-21,0.12434658325432413,0.08119751118618135,0.07321347364800271,260.3347,254.50697
22,2016-10-30,0.15963007692988823,0.11720694081168387,0.10052654663112051,260.3347,254.50697
23,2016-11-11,0.12140472420721239,0.0726279439855566,0.06787026599263311,260.3347,254.50697
24,2016-11-14,0.13856089757409779,0.06938142076954942,0.0710204319197127,260.3347,254.50697
25,2016-11-26,0.13049194506564749,0.06284439832643701,0.06529608680256636,260.3347,254.50697
26,2016-11-29,0.12262832552488029,0.053838762749691654,0.058566234537661896,260.3347,254.50697
27,2016-12-13,0.11204811812552842,0.06424336254047319,0.06114976003258955,260.3347,254.50697
28,2016-12-20,0.13069537967971329,0.05207909148116824,0.05999235944648715,260.3347,254.50697
29,2017-01-01,0.1309967250797603,0.06593855797706338,0.06721761517687612,258.87778,254.50697
30,2017-01-04,0.1404184995825132,0.06206504623187711,0.06762846158281,258.87778,254.50697
31,2017-01-06,0.10783615802795639,0.06381763306493611,0.059877299877316305,258.87778,254.50697
32,2017-01-10,0.15225816185306326,0.05948605574049251,0.06936997751586894,258.87778,254.50697
33,2017-01-13,0.13210884493012015,0.059052397429107284,0.06364174521210932,258.87778,254.50697
34,2017-01-16,0.1629276450582463,0.0698501330353726,0.07723299459305998,258.87778,254.50697
35,2017-01-22,0.13504911801832054,0.07234634316921487,0.07103808284914293,258.87778,254.50697
36,2017-01-28,0.14039292202981948,0.08343551375992467,0.07801089084452793,258.87778,254.50697
37,2017-02-06,0.1291714930024953,0.03992635525768162,0.05352971930551957,258.87778,254.50697
38,2017-02-12,0.13501373704274336,0.038871003655541414,0.05397745827070621,258.87778,254.50697
39,2017-03-05,0.15679827264359616,0.06066128526524778,0.07115844652392792,258.87778,254.50697
40,2017-03-07,0.15588791152509104,0.04940669912635254,0.06516880395149988,258.87778,254.50697
41,2017-03-11,0.14747339503813361,0.04625914859108676,0.06115055244675126,258.87778,254.50697
42,2017-03-14,0.12913182347970023,0.0546231765665241,0.060790823128038754,258.87778,254.50697
43,2017-03-17,0.13068445389069158,0.08611124657095301,0.07687879798754757,258.87778,254.50697
44,2017-03-26,0.12029933034406512,0.06292108877899893,0.06250975515476453,258.87778,254.50697
45,2017-03-29,0.17716128613859178,0.07758961607974674,0.08480715321938313,258.87778,254.50697
46,2017-04-07,0.1341367525392749,0.059421267942462,0.06437801197995009,258.87778,254.50697
47,2017-04-10,0.1538537703448316,0.07750136742215014,0.07884132229111898,258.87778,254.50697
48,2017-04-12,0.12767671213295623,0.050882072969872655,0.05869451485515703,258.87778,254.50697
49,2017-04-16,0.1536873251430574,0.054523814061639364,0.06727257417781356,258.87778,254.50697
50,2017-04-24,0.12846151251385168,0.0910566997616338,0.078975942511325,258.87778,254.50697
51,2017-04-28,0.1781126901929286,0.11513436095326565,0.10451996667415518,258.87778,254.50697
52,2017-05-10,0.209961985888745,0.10095390480112956,0.10458366073255487,258.87778,254.50697
53,2017-05-16,0.24652158671400448,0.07459146458459054,0.1003369677466904,258.87778,254.50697
54,2017-05-24,0.2789286428392214,0.09785345594679534,0.12144404509509987,258.87778,254.50697
55,2017-05-28,0.18527866066183554,0.06304966792411856,0.0791365707913839,258.87778,254.50697
56,2017-06-03,0.22070352801278062,0.0710440106538853,0.09225406433483055,258.87778,254.50697
57,2017-06-15,0.2223293488603177,0.0543326262618431,0.08340442018881652,258.87778,254.50697
58,2017-06-24,0.3423737418295374,0.08185909490574211,0.12867096695569355,258.87778,254.50697
59,2017-07-03,0.22523844550389982,0.05777277348325449,0.08615514777941649,258.87778,254.50697
