,time,discharge,u_error,l_error,width_averaged_thickness,width_averaged_thickness_bedmachine
0,16/01/2016,0.19830236,0.056486312,0.07883918,294.22528,299.21515
1,09/02/2016,0.186835248,0.053400328,0.074185253,294.22528,299.21515
2,21/02/2016,0.177858914,0.058122805,0.073650017,294.22528,299.21515
3,04/03/2016,0.163537034,0.051927713,0.067098117,294.22528,299.21515
4,05/04/2016,0.203233107,0.165597145,0.131970706,294.22528,299.21515
5,09/04/2016,0.168932732,0.108161469,0.095006909,294.22528,299.21515
6,17/04/2016,0.207670786,0.122406172,0.11273043,294.22528,299.21515
7,21/04/2016,0.20612802,0.077449157,0.090643832,294.22528,299.21515
8,03/05/2016,0.219368514,0.076428264,0.093197012,294.22528,299.21515
9,15/05/2016,0.310235609,0.085835083,0.121986251,294.22528,299.21515
10,01/06/2016,0.191366129,0.07228299,0.084676917,294.22528,299.21515
11,04/06/2016,0.306871614,0.094228001,0.126523898,294.22528,299.21515
12,08/06/2016,0.352720807,0.082111603,0.129907573,294.22528,299.21515
13,05/07/2016,0.288222482,0.078043569,0.113653125,294.22528,299.21515
14,10/07/2016,0.265851423,0.073432574,0.105045843,294.22528,299.21515
15,26/07/2016,0.228297365,0.054688929,0.084513363,294.22528,299.21515
16,29/07/2016,0.292500455,0.064901759,0.106992803,294.22528,299.21515
17,07/08/2016,0.179868992,0.047242823,0.069076225,294.22528,299.21515
18,10/08/2016,0.254485297,0.061186092,0.095747556,294.22528,299.21515
19,19/08/2016,0.180943258,0.046365128,0.068478531,294.22528,299.21515
20,27/08/2016,0.273477771,0.070693936,0.105240868,294.22528,299.21515
21,31/08/2016,0.18849392,0.073948053,0.08458762,294.22528,299.21515
22,03/09/2016,0.239370265,0.066120625,0.093733094,294.22528,299.21515
23,08/09/2016,0.172220491,0.054416711,0.07097882,294.22528,299.21515
24,15/09/2016,0.147883316,0.069770247,0.072430198,294.22528,299.21515
25,20/09/2016,0.157721571,0.051467,0.065551802,294.22528,299.21515
26,24/09/2016,0.176776272,0.071206692,0.079356885,294.22528,299.21515
27,14/10/2016,0.133825322,0.066629982,0.066288845,294.22528,299.21515
