,S,STD
2016-01-09,107.53193664550781,7.760822187563494
2016-01-16,109.32554626464844,10.367715737776846
2016-01-21,81.9576187133789,10.348393184744783
2016-02-02,111.29782104492188,7.80086733729488
2016-02-09,129.55357360839844,9.472297695834644
2016-02-14,117.5281982421875,9.720240312671343
2016-02-21,107.37825012207031,9.173552789293332
2016-02-24,118.71183776855469,10.332305640325313
2016-02-26,132.41473388671875,15.939501048370582
2016-03-04,106.86659240722656,6.0887606539477295
2016-03-09,108.1666259765625,15.429731161595377
2016-03-16,114.26508331298828,9.142654823327382
2016-03-21,115.31101989746094,11.731208413990643
2016-03-28,102.71124267578125,5.22970642324452
2016-04-02,128.69764709472656,14.316019524329421
2016-04-05,131.61618041992188,41.29173649758972
2016-04-09,118.94552612304688,25.43176173642355
2016-04-12,162.30264282226562,22.05114758938805
2016-04-14,147.41748046875,24.522820451252354
2016-04-17,157.29837036132812,33.25783006059051
2016-04-21,156.09405517578125,14.019844051094477
2016-04-24,161.3945770263672,25.50299839600485
2016-04-29,156.2312774658203,31.774870628328788
2016-05-03,181.20736694335938,11.324936971596141
2016-05-06,172.89028930664062,12.754038703377725
2016-05-11,238.9008026123047,13.810429759568606
2016-05-15,211.69432067871094,11.493293870839139
2016-05-18,215.927490234375,15.223202310841998
2016-05-20,192.03160095214844,16.237770035051636
2016-05-23,151.39495849609375,9.855418616175193
2016-05-27,122.15118408203125,11.392577595802422
2016-05-30,118.54839324951172,7.465085285435515
2016-06-01,161.9904327392578,11.945084865718629
2016-06-04,221.51388549804688,11.363582484552467
2016-06-08,257.948974609375,9.092324514654946
2016-07-05,150.22032165527344,7.216981311343209
2016-07-10,151.6217803955078,7.203762357591584
2016-07-17,155.03628540039062,5.307189639234319
2016-07-22,167.18585205078125,4.539330375995036
2016-07-26,90.79975128173828,5.684011583802336
2016-07-29,128.14654541015625,4.216955039150534
2016-08-03,135.8612518310547,4.442776702429189
2016-08-07,86.60218048095703,5.179450680634806
2016-08-10,121.84679412841797,4.316802055542839
2016-08-15,131.09307861328125,5.7310522599380995
2016-08-19,120.91654205322266,4.624478948360684
2016-08-27,128.26516723632812,8.053592832199147
2016-08-31,103.63817596435547,13.961643445478622
2016-09-03,106.09407043457031,9.159596717945547
2016-09-08,95.35626983642578,5.574830250457505
2016-09-12,74.32369995117188,7.563672039151335
2016-09-15,103.26692962646484,9.861147179776511
2016-09-20,97.64600372314453,5.5061890996114
2016-09-24,72.84323120117188,8.970467658169667
2016-09-27,85.0435791015625,9.273793651657169
2016-10-09,71.56240844726562,22.071763842703184
2016-10-12,87.93389129638672,14.705885525751654
2016-10-14,68.42825317382812,14.488993893020012
2016-10-21,94.12861633300781,20.865807954598456
2016-10-26,111.4358901977539,20.73821918928797
2016-10-30,108.67306518554688,30.93365869671598
2016-11-02,77.1460189819336,27.101042811051556
2016-11-07,94.70829010009766,16.9134502729568
2016-11-11,81.71002960205078,20.742740983292585
2016-11-14,102.6761474609375,10.801254767640813
2016-11-17,95.81550598144531,11.642878253617699
2016-11-23,98.5024642944336,14.242711623969932
2016-11-26,103.22396850585938,17.42983494470929
2016-11-29,93.00532531738281,9.92246443071149
2016-12-05,98.7402114868164,10.613688647777671
2016-12-08,91.86752319335938,17.335156610359586
2016-12-13,102.5841064453125,12.454690466238159
2016-12-20,90.53907775878906,9.639401836732766
2016-12-23,103.60527038574219,8.822800486236627
2016-12-25,103.1709213256836,9.112704320294096
2016-12-29,90.19326782226562,13.173098157174827
2017-01-01,103.72985076904297,13.063974540176044
2017-01-04,106.29561614990234,10.423287414423998
2017-01-06,96.19573211669922,14.74624932903296
2017-01-10,89.33248138427734,8.032967010556435
2017-01-13,97.84899139404297,13.9798272579642
2017-01-16,109.81442260742188,13.975649630823181
2017-01-22,99.31310272216797,15.72269753211748
2017-01-28,91.71919250488281,21.468684080440802
2017-02-03,92.87625885009766,9.486012441082789
2017-02-06,98.54378509521484,4.7583222268256185
2017-02-09,97.12184143066406,16.855544531667704
2017-02-12,101.45905303955078,6.145503913497774
2017-02-15,119.32923889160156,20.274047462815176
2017-02-18,104.66021728515625,7.948917871678166
2017-03-05,97.86509704589844,8.34966425016054
2017-03-07,121.68346405029297,7.384225235492376
2017-03-11,106.9751205444336,7.963899759764354
2017-03-14,81.22695922851562,8.165136447681208
2017-03-17,93.0577392578125,21.784247544614285
2017-03-19,106.90668487548828,16.7726222904866
2017-03-26,99.81006622314453,15.746771523516575
2017-03-29,112.53755950927734,16.225520833919006
2017-03-31,109.65181732177734,10.33877843433375
2017-04-07,97.16184997558594,11.75152055844298
2017-04-10,114.39167022705078,16.262701222100223
2017-04-12,103.13346862792969,13.551260809163766
2017-04-16,98.1763687133789,11.035880982990433
2017-04-19,105.14198303222656,37.93580506986697
2017-04-22,104.458984375,27.359893728847627
2017-04-24,98.25425720214844,23.910427712461363
2017-04-28,107.6982650756836,24.725459276368007
2017-05-01,128.07275390625,29.805007408804798
2017-05-04,121.15149688720703,41.715150131485636
2017-05-06,121.6241455078125,48.17960854020374
2017-05-10,145.7747344970703,24.848241034311407
2017-05-13,192.67176818847656,25.930750689369372
2017-05-16,170.67562866210938,10.354536676697789
2017-05-18,186.21356201171875,18.794493997237957
2017-05-22,186.795654296875,10.802659324535407
2017-05-24,189.74562072753906,17.30533767717062
2017-05-25,164.49070739746094,11.865446693886335
2017-05-28,143.85250854492188,11.381846299107028
2017-05-31,176.80018615722656,11.535593240886884
2017-06-03,144.77906799316406,10.821106407064953
2017-06-06,177.75523376464844,12.05730698130059
2017-06-09,136.13917541503906,8.402480398373946
2017-06-12,159.9659423828125,12.952524888216377
2017-06-15,119.98213195800781,7.171059818041757
2017-06-21,127.99026489257812,4.734682870134634
2017-06-24,179.48040771484375,8.422548666782427
2017-06-27,134.00291442871094,13.58550488282535
2017-06-30,151.02978515625,6.111510999784037
2017-07-03,122.09077453613281,6.758316073001076
2017-07-06,144.95758056640625,5.876049734413032
2017-07-09,123.5655517578125,6.323914101727853
2017-07-12,171.9929962158203,4.916700917772405
2017-07-15,116.26055908203125,6.68931540921878
2017-07-18,154.0899200439453,3.175564532064731
2017-07-21,105.36972045898438,10.45204409519359
2017-07-27,98.26567840576172,6.845715454675334
2017-08-04,142.61717224121094,4.1588954500916
2017-08-08,109.89112091064453,4.580294064087273
2017-08-10,133.043212890625,4.534420254527616
2017-08-11,133.7672576904297,4.020002522624603
2017-08-14,88.41144561767578,11.142737522883824
2017-08-16,123.48963165283203,10.301241172475718
2017-08-17,118.77943420410156,8.552688112883159
2017-08-20,97.05813598632812,7.480093095135841
2017-08-22,106.44336700439453,5.701582817835186
2017-08-23,105.57813262939453,6.564563857142085
2017-08-26,131.87911987304688,5.947641077058941
2017-08-28,130.6415252685547,6.044104835020201
2017-08-29,160.5748291015625,5.445041568177512
2017-09-01,102.46601104736328,5.243124290533809
2017-09-03,180.7220001220703,6.346495508780309
2017-09-04,153.91921997070312,7.875840878512973
2017-09-07,97.51105499267578,10.958604978123319
2017-09-09,101.8206787109375,6.606151937644968
2017-09-13,121.04338073730469,12.046116397240953
2017-09-15,128.13623046875,8.943006506803222
2017-09-16,141.641845703125,8.241393940756902
2017-09-19,110.19316864013672,7.043403676818065
2017-09-21,132.8433380126953,10.333029469691388
2017-09-22,113.12417602539062,13.420210273757919
2017-09-25,95.24447631835938,14.381403486116081
2017-09-27,100.05690002441406,11.603275181742973
2017-09-28,88.33305358886719,11.553527567084691
2017-10-01,93.17350006103516,11.930918401661586
2017-10-03,88.6501693725586,9.181178322654432
2017-10-04,88.6922836303711,10.628880855822707
2017-10-09,85.74604034423828,12.292903705225067
2017-10-10,93.86296081542969,10.606179631148756
2017-10-15,88.55612182617188,7.68043396693777
2017-10-16,97.39381408691406,8.626266015640304
2017-10-21,85.13874816894531,18.98988654041458
2017-10-22,95.39215087890625,15.423125099176819
2017-10-25,104.83338928222656,20.159749478214987
2017-10-27,121.30007934570312,24.372286860896835
2017-10-28,132.37899780273438,25.955447175735582
2017-11-02,133.75205993652344,27.67638984508494
2017-11-06,122.92707824707031,16.072445401102907
2017-11-08,106.00626373291016,23.688047400160436
2017-11-09,103.83053588867188,16.09259957974493
2017-11-12,115.26463317871094,17.542481718882108
2017-11-14,106.52202606201172,20.952387093943745
2017-11-20,106.84478759765625,25.761578275054376
2017-11-21,111.63020324707031,23.964634587560667
2017-11-24,127.41739654541016,32.373586517058264
2017-11-26,106.70812225341797,30.680474651105886
2017-11-27,122.82524108886719,33.08462206528065
2017-11-30,117.0440444946289,32.80917939305717
2017-12-02,110.43202209472656,19.682316550611652
2017-12-03,101.16112518310547,17.56444539427093
2017-12-06,109.88792419433594,18.453913685468734
2017-12-08,104.81682586669922,21.09208225552817
2017-12-09,112.24336242675781,13.93092804592925
2017-12-12,107.41585540771484,13.344488944392245
2017-12-14,114.78568267822266,20.26524534544988
2017-12-15,119.6053695678711,16.933421911961346
2017-12-18,110.06913757324219,9.959318908048397
2017-12-20,102.49593353271484,13.147478307592342
2017-12-21,109.71381378173828,8.829791995465365
2017-12-24,83.06641387939453,17.012172812249503
2017-12-26,118.6056900024414,10.947949637648216
2017-12-27,112.00520324707031,10.369105624342026
2017-12-30,129.0062255859375,8.990471493003355
2018-01-01,103.19043731689453,16.3847497956841
2018-01-02,108.33267974853516,10.080888775645056
2018-01-05,139.60096740722656,19.673901218056436
2018-01-07,101.4468994140625,15.871097514335178
2018-01-08,105.06352233886719,12.74248775686738
2018-01-10,120.83139038085938,14.92721448557037
2018-01-11,122.57147216796875,15.68706493303676
2018-01-13,125.00519561767578,13.411402749047374
2018-01-14,107.95451354980469,9.263308180727376
2018-01-16,134.3628387451172,9.661041486753042
2018-01-17,106.68778228759766,7.7079093051038665
2018-01-19,113.8344955444336,9.961028905706254
2018-01-20,112.09503173828125,12.92211579153038
2018-01-22,114.41725158691406,10.604598642584676
2018-01-23,105.72148132324219,11.393923112407647
2018-01-25,116.80207824707031,16.483605772627406
2018-01-26,114.67782592773438,12.418925201694304
2018-01-29,128.60536193847656,14.56317081162171
2018-01-31,112.47486114501953,15.642329411893058
2018-02-01,105.02920532226562,13.066710629134304
2018-02-04,115.55762481689453,24.658504263847263
2018-02-07,114.4051513671875,14.864001927419203
2018-02-10,118.16932678222656,21.456380207420775
2018-02-12,112.76940155029297,18.21825722114314
2018-02-13,122.79998016357422,12.717209259958796
2018-02-16,114.23283386230469,15.588683607058204
2018-02-18,113.7397689819336,8.477258403713982
2018-02-19,119.84441375732422,16.577740141780666
2018-02-20,123.38954162597656,8.96022407800345
2018-02-22,111.39305877685547,19.047498358368593
2018-02-24,129.8424530029297,18.14476384071481
2018-02-25,121.6495590209961,13.935531508959883
2018-02-28,117.6474609375,17.41575549230289
2018-03-02,124.94707489013672,5.409568641771952
2018-03-03,114.17044830322266,10.517481435674375
2018-03-04,118.1645278930664,5.670825396877111
2018-03-06,136.75927734375,10.18674640007735
2018-03-08,101.77391815185547,13.127146526388414
2018-03-09,105.95658111572266,9.356112829533878
2018-03-12,119.738037109375,18.483709513704557
2018-03-14,115.83153533935547,8.727811936392735
2018-03-15,118.73858642578125,9.440250695742394
