x,29/09/2022,25/09/2022,20/09/2022,17/09/2022,13/09/2022,08/09/2022,02/10/2022,winter_median,august_mean,elevation
0,25.83175087,13.16268063,5.977214813,5.202555656,23.06496048,23.69157028,34.90913773,16.4234848,17.21911993,174
131.2085569,36.05895233,8.08016777,17.05575371,7.054672718,23.06266212,34.71379471,43.81445694,20.92937469,19.87292299,181
262.4171139,36.05895233,8.08016777,17.05575371,7.054672718,23.06266212,34.71379471,43.81445694,20.92937469,19.87292299,188
393.6256708,35.17712784,4.411357403,35.30008316,8.980974197,29.47440338,41.3752594,57.5594368,25.25986671,26.42522049,195
524.8342278,38.95824432,7.226392746,42.05339813,10.84605789,23.16690445,45.88348007,54.08470154,26.17951488,26.47797089,202
656.0427847,30.76055908,7.359305859,44.33095169,13.63580704,25.89855576,47.44957733,61.14134598,33.83328819,28.66856251,208
787.2513416,30.76055908,7.359305859,44.33095169,13.63580704,25.89855576,47.44957733,61.14134598,33.83328819,28.66856251,213
918.4598986,31.77211571,13.73408794,45.05456161,8.704070091,21.29671097,47.12755966,59.52375412,31.99795818,28.76009827,217
1049.668456,26.43649101,21.4007988,37.72366714,14.39489841,27.90505219,47.76152802,63.83548737,39.26364517,26.42749367,224
1180.877012,26.43649101,21.4007988,37.72366714,14.39489841,27.90505219,47.76152802,63.83548737,39.26364517,26.42749367,230
1312.085569,29.13619804,36.30266571,34.78044891,16.66548157,31.43577385,47.41226578,53.73656845,42.90014648,29.75713806,236
1443.294126,29.13619804,36.30266571,34.78044891,16.66548157,31.43577385,47.41226578,53.73656845,42.90014648,29.75713806,240
1574.502683,29.13619804,36.30266571,34.78044891,16.66548157,31.43577385,47.41226578,53.73656845,42.90014648,29.75713806,244
1705.71124,32.59136963,43.15087509,36.04123306,13.67898941,28.03575706,52.28783798,37.30230713,43.74829865,41.79215736,250
1836.919797,32.59136963,43.15087509,36.04123306,13.67898941,28.03575706,52.28783798,37.30230713,43.74829865,41.79215736,253
1968.128354,41.59723663,46.25265121,44.00535965,30.6014595,31.78474236,59.40888977,34.1944809,49.16383743,54.02920685,253
2099.336911,41.59723663,46.25265121,44.00535965,30.6014595,31.78474236,59.40888977,34.1944809,49.16383743,54.02920685,255
2230.545468,51.85640717,49.78105164,50.19213104,53.52441406,34.67120361,69.98794556,29.36336899,48.67981148,73.45403137,258
2361.754025,51.85640717,49.78105164,50.19213104,53.52441406,34.67120361,69.98794556,29.36336899,48.67981148,73.45403137,266
2492.962582,57.43449783,54.37296677,58.29195023,81.03200531,47.10799026,83.16526031,34.28513718,54.37397766,89.0231781,271
2624.171139,57.43449783,54.37296677,58.29195023,81.03200531,47.10799026,83.16526031,34.28513718,54.37397766,89.0231781,277
2755.379696,49.36818695,53.58668518,52.9925499,68.28175354,44.73143768,80.1359787,35.83391953,55.07852554,90.68803406,290
2886.588253,52.91727448,60.34217072,61.25548553,104.7907867,62.70014191,94.89227295,41.9765625,64.53749847,109.0204208,311
3017.79681,52.91727448,60.34217072,61.25548553,104.7907867,62.70014191,94.89227295,41.9765625,64.53749847,109.0204208,326
3149.005367,56.62710571,66.790802,68.35088348,123.8046951,78.02655029,108.4115829,49.54529572,74.51913452,124.8838928,339
3280.213923,55.11434555,65.80390167,66.40219879,124.8253632,78.54005432,107.2175217,52.85850525,79.5599823,127.3499435,348
3411.42248,60.79968262,70.99893188,73.02707672,133.4485931,89.66570282,120.5246048,59.86706924,95.2710495,136.2151016,348
5407.535289,89.64376068,64.55724335,82.51978302,79.95774078,96.96005249,139.1255951,59.87097549,111.3124619,137.9167999,424
7403.648098,117.8554001,130.9817047,162.1421814,128.5462646,156.4662018,250.8788757,94.70238495,148.6808548,207.7222595,505
9399.760907,213.9153442,243.8849335,257.0444336,253.3214569,248.3565521,328.6144104,169.1672821,254.564064,318.7338379,589
9556.333226,221.5505219,248.6860199,267.2876587,258.7738647,265.677002,326.22229,179.1720123,264.3403168,323.9890564,594
9712.905544,221.5505219,248.6860199,267.2876587,258.7738647,265.677002,326.22229,179.1720123,264.3403168,323.9890564,614
9869.477863,218.493866,258.8139038,267.4028931,268.6370544,284.4089661,326.6376648,185.643219,273.9007568,323.5059448,629
10026.05018,218.493866,258.8139038,267.4028931,268.6370544,284.4089661,326.6376648,185.643219,273.9007568,323.5059448,645
10182.6225,212.3115082,-9999,265.1963501,267.4596558,-9999,325.3676147,187.9749756,262.3447876,307.695755,659
10339.19482,208.5163727,-9999,258.5293274,267.2293701,-9999,326.9114075,188.9943085,259.5114746,302.0176392,672
10495.76714,208.5163727,-9999,258.5293274,267.2293701,-9999,326.9114075,188.9943085,259.5114746,302.0176392,678
10652.33946,189.2567291,-9999,243.6284332,260.3999634,-9999,316.6797791,185.4466705,241.3925629,283.2097473,681
10808.91177,189.2567291,-9999,243.6284332,260.3999634,-9999,316.6797791,185.4466705,241.3925629,283.2097473,682
10965.48409,173.5583038,-9999,225.5694122,232.7507477,-9999,303.8313293,184.7396393,220.5259247,266.1478996,685
11122.05641,173.5583038,-9999,225.5694122,232.7507477,-9999,303.8313293,184.7396393,220.5259247,266.1478996,689
11278.62873,172.5965118,-9999,214.8939819,228.0677032,-9999,296.9602966,181.4745331,217.4492645,262.3899536,694
11435.20105,165.4422302,-9999,213.051239,211.8518829,-9999,294.8779907,185.6305389,207.1028214,254.4875145,699
11591.77337,168.0328674,-9999,204.3219147,210.702179,-9999,291.6761475,181.5974731,209.6980133,251.1742363,704
11748.34569,163.1598663,-9999,203.0363007,205.141449,-9999,292.4760437,185.9416351,198.1550598,241.1420135,710
