x,29/09/2022,25/09/2022,20/09/2022,17/09/2022,13/09/2022,08/09/2022,02/10/2022,winter_median,august_mean,elevation
0,31.33607292,19.76557732,20.96348572,4.229185581,3.611806393,11.28181648,9.142589569,12.07906342,14.29113221,304
329.7922806,30.74841118,27.7746315,12.08001518,8.227361679,7.104160786,46.69261551,12.30530453,14.93089771,25.50936713,324
659.5845612,9.140525818,29.72674179,24.30762291,11.90905857,9.712532997,93.0413208,23.04666328,25.96189499,40.82674751,344
989.3768417,11.53525639,34.46585083,27.67213821,15.14227676,31.40555,126.0403824,32.86357498,30.62072563,54.67678223,365
1319.169122,43.54193878,74.82924652,48.68205261,24.12555122,83.57202911,112.7791748,52.79489136,51.91269302,76.224086,383
1648.961403,43.89785385,83.53996277,59.40318298,19.49715424,103.5831528,107.0825119,61.07264709,59.92854309,79.03343658,402
1978.753683,47.55291367,99.89017487,69.43505096,32.50180817,110.3980255,104.4782257,69.58360291,81.86554718,77.2784996,420
2308.545964,54.32955551,97.43071747,73.35514832,36.44720078,113.9064102,115.1137085,69.91107941,86.49654388,82.34652557,438
2638.338245,64.84922791,89.55179596,69.08438873,47.2809906,117.7156448,138.2281494,63.08126831,87.87931824,95.11946869,459
2968.130525,68.90805054,84.84968567,72.73162079,47.44034958,129.9472198,154.5896454,64.76132202,88.05073547,99.74257813,473
3297.922806,74.40139771,87.45188904,80.78718567,47.33592224,134.3021545,172.6351624,64.00318909,93.53726196,103.4009048,476
3627.715086,80.13669586,87.15071869,93.22566986,55.27448654,139.9514618,192.4734192,69.85678101,98.30556488,109.794313,486
3957.507367,81.73816681,85.8157959,102.2442551,66.58034515,130.4983215,197.8477631,76.42582703,106.2438126,117.1466507,506
4287.299648,97.04634094,77.22187805,118.6539154,86.30373383,128.0520782,210.2292938,86.76705933,119.6924515,123.5510376,523
4617.091928,103.3693008,80.11347961,123.7557678,90.4392395,132.4223175,215.4418488,91.90685272,124.129425,124.9645645,535
4966.154245,105.9363251,88.56250763,129.1257935,103.1884613,140.7568817,226.0682831,98.16316223,131.7720642,126.2851578,552
5315.216562,100.6110916,118.9716873,139.687912,124.862587,158.2784882,261.946106,105.4824142,134.078064,135.1021942,570
5664.278879,104.7403793,130.5086975,142.8551178,128.9154053,163.5922546,275.8220825,110.9909363,140.4284668,149.5737244,584
