,S,STD,repeat_time
2022-05-08,606.8682861328125,27.700220108032227,12.0
2022-05-11,592.6688842773438,23.821565628051758,12.0
2022-05-20,614.7274780273438,34.7182502746582,12.0
2022-05-23,620.6083984375,31.939430236816406,12.0
2022-06-01,679.1917114257812,39.922943115234375,12.0
2022-06-04,690.5020141601562,39.550140380859375,12.0
2022-06-11,644.5939331054688,25.858680725097656,12.0
2022-06-13,636.5202026367188,27.59187126159668,12.0
2022-06-16,590.3497924804688,14.141855239868164,12.0
2022-06-25,519.8197021484375,23.78097152709961,12.0
2022-06-28,496.1063537597656,14.623839378356934,12.0
2022-07-07,359.3843688964844,25.890947341918945,12.0
2022-07-10,400.1524658203125,13.233051300048828,12.0
2022-07-17,411.1219482421875,13.786283493041992,12.0
2022-07-19,358.2960205078125,23.95334815979004,12.0
2022-07-22,401.5218811035156,13.122126579284668,12.0
2022-07-31,408.6621398925781,19.757543563842773,12.0
2022-08-03,432.19805908203125,12.86678409576416,12.0
2022-08-10,389.2113342285156,21.804580688476562,12.0
2022-08-12,316.9404296875,19.577442169189453,12.0
2022-08-15,368.30133056640625,10.870830535888672,12.0
2022-08-24,375.7776794433594,19.308517456054688,12.0
2022-08-27,424.4275207519531,12.865200996398926,12.0
2022-09-05,428.970947265625,20.004100799560547,12.0
2022-09-08,433.4377136230469,11.07776165008545,12.0
2022-09-15,267.88787841796875,18.26767349243164,12.0
2022-09-17,240.22164916992188,18.86711311340332,12.0
2022-09-20,322.97161865234375,11.445169448852539,12.0
2022-09-27,298.32281494140625,15.739267349243164,12.0
2022-10-02,250.8069610595703,12.56792163848877,12.0
2022-10-11,237.84197998046875,22.64084815979004,12.0
2022-10-14,230.1139373779297,17.0263614654541,12.0
2022-10-23,318.95428466796875,26.034526824951172,12.0
2022-10-26,289.5431213378906,21.09749984741211,12.0
