,time,ice_velocity,velocity_error
0,2022-01-04 12:00,129.9980446592686,130.3571428571429
1,2022-01-04 13:00,129.3438739087888,130.35714285714286
2,2022-01-04 14:00,128.7299314651067,130.3571428571429
3,2022-01-04 15:00,128.15006068574965,130.35714285714283
4,2022-01-04 16:00,127.59232733271612,130.3571428571428
5,2022-01-04 17:00,127.04011182842662,130.35714285714286
6,2022-01-04 18:00,126.47343185822882,130.3571428571429
7,2022-01-04 19:00,125.87038411394869,130.35714285714283
8,2022-01-04 20:00,125.208598192597,130.35714285714283
9,2022-01-04 21:00,124.46661491661783,130.3571428571429
10,2022-01-04 22:00,123.62512522323645,130.35714285714286
11,2022-01-04 23:00,122.66802985631313,130.35714285714286
12,2022-01-05 00:00,121.58329614713014,130.3571428571428
13,2022-01-05 01:00,120.36360473051417,130.35714285714286
14,2022-01-05 02:00,119.00678250883053,130.35714285714283
15,2022-01-05 03:00,117.51602095913934,130.35714285714286
16,2022-01-05 04:00,115.89987655770035,130.35714285714283
17,2022-01-05 05:00,114.1720485145652,130.35714285714283
18,2022-01-05 06:00,112.35093032537765,130.35714285714286
19,2022-01-05 07:00,110.45893400768827,130.35714285714283
20,2022-01-05 08:00,108.5215978292619,130.35714285714283
21,2022-01-05 09:00,106.56650178623475,130.35714285714286
22,2022-01-05 10:00,104.62203655698575,130.35714285714286
23,2022-01-05 11:00,102.71609186892266,130.35714285714286
24,2022-01-05 12:00,100.87475704213075,130.35714285714286
25,2022-01-05 13:00,99.1211390775716,130.35714285714286
26,2022-01-05 14:00,97.47441118735604,130.35714285714283
27,2022-01-05 15:00,95.94919997225595,130.3571428571429
28,2022-01-05 16:00,94.5553889811348,130.35714285714286
29,2022-01-05 17:00,93.29838096072804,130.35714285714286
30,2022-01-05 18:00,92.17980389099566,130.35714285714286
31,2022-01-05 19:00,91.19859497028385,130.35714285714283
32,2022-01-05 20:00,90.35234763308551,130.35714285714286
33,2022-01-05 21:00,89.63877014392031,130.35714285714286
34,2022-01-05 22:00,89.05708865870734,130.35714285714286
35,2022-01-05 23:00,88.60922715749712,130.35714285714283
36,2022-01-06 00:00,88.30061054303742,130.35714285714283
37,2022-01-06 01:00,88.1404692176694,130.35714285714286
38,2022-01-06 02:00,88.14156269752469,130.3571428571429
39,2022-01-06 03:00,88.31929732865878,130.35714285714283
40,2022-01-06 04:00,88.69027497081007,130.35714285714283
41,2022-01-06 05:00,89.27039588082552,130.35714285714286
42,2022-01-06 06:00,90.07270445756214,130.3571428571429
43,2022-01-06 07:00,91.10523655535872,130.35714285714286
44,2022-01-06 08:00,92.36914628691976,130.35714285714286
45,2022-01-06 09:00,93.85736829592524,130.35714285714286
46,2022-01-06 10:00,95.55399883474864,130.35714285714286
47,2022-01-06 11:00,97.43446912672182,130.35714285714286
48,2022-01-06 12:00,99.46646590076729,130.35714285714286
49,2022-01-06 13:00,101.61145582170745,130.35714285714283
50,2022-01-06 14:00,103.82660967350037,130.35714285714286
51,2022-01-06 15:00,106.06690653302424,130.35714285714286
52,2022-01-06 16:00,108.28721591000384,130.35714285714286
53,2022-01-06 17:00,110.44420232219916,130.35714285714286
54,2022-01-06 18:00,112.49794369426867,130.35714285714286
55,2022-01-06 19:00,114.41320516825523,130.3571428571429
56,2022-01-06 20:00,116.16034880002609,130.35714285714286
57,2022-01-06 21:00,117.71588885202972,130.35714285714286
58,2022-01-06 22:00,119.06272235041371,130.35714285714286
59,2022-01-06 23:00,120.1900730095755,130.35714285714286
60,2022-01-07 00:00,121.09319647420948,130.35714285714283
61,2022-01-07 01:00,121.77288891446409,130.35714285714283
62,2022-01-07 02:00,122.23484573931259,130.35714285714283
63,2022-01-07 03:00,122.48890681744882,130.35714285714286
64,2022-01-07 04:00,122.54822570961778,130.3571428571429
65,2022-01-07 05:00,122.42839104726309,130.35714285714286
66,2022-01-07 06:00,122.1465293044197,130.35714285714286
67,2022-01-07 07:00,121.7204121136753,130.35714285714286
68,2022-01-07 08:00,121.16759295490768,130.35714285714286
69,2022-01-07 09:00,120.50459548430825,130.35714285714286
70,2022-01-07 10:00,119.74617688604687,130.35714285714286
71,2022-01-07 11:00,118.90469084183164,130.35714285714283
72,2022-01-07 12:00,117.98957008087363,130.35714285714286
73,2022-01-07 13:00,117.00695057357974,130.35714285714286
74,2022-01-07 14:00,115.95945250570256,130.35714285714286
75,2022-01-07 15:00,114.84613001130998,130.35714285714283
76,2022-01-07 16:00,113.66259298336644,130.35714285714286
77,2022-01-07 17:00,112.40130055310283,130.35714285714283
78,2022-01-07 18:00,111.05201601573876,130.35714285714286
79,2022-01-07 19:00,109.60240825841852,130.3571428571429
80,2022-01-07 20:00,108.03877960841278,130.35714285714286
81,2022-01-07 21:00,106.34689305704873,130.35714285714286
82,2022-01-07 22:00,104.51287135067746,130.3571428571429
83,2022-01-07 23:00,102.52413305770322,130.35714285714286
84,2022-01-08 00:00,100.37032979345061,130.35714285714286
85,2022-01-08 01:00,98.04424792829465,130.35714285714286
86,2022-01-08 02:00,95.54263198999152,130.35714285714283
87,2022-01-08 03:00,92.86689205816671,130.3571428571429
88,2022-01-08 04:00,90.02365303152098,130.35714285714286
89,2022-01-08 05:00,87.02511318819343,130.35714285714286
90,2022-01-08 06:00,83.88917936104401,130.3571428571429
91,2022-01-08 07:00,80.63935581101545,130.35714285714283
92,2022-01-08 08:00,77.30437334640374,130.35714285714286
93,2022-01-08 09:00,73.91755493308371,130.35714285714286
94,2022-01-08 10:00,70.5159248018516,130.35714285714283
95,2022-01-08 11:00,67.13908258371582,130.3571428571429
