time,v_24h,obs_cover_percent
14/10/2021,92.25549499,0
15/10/2021,92.25549499,0
16/10/2021,92.25549499,0
17/10/2021,92.25549499,0
18/10/2021,92.25549499,0
19/10/2021,92.25549499,0
20/10/2021,92.25549499,0
21/10/2021,92.25549499,0
22/10/2021,92.25549499,0
23/10/2021,92.25549499,0
24/10/2021,92.25549499,0
25/10/2021,92.25549499,0
26/10/2021,92.25549499,0
27/10/2021,92.25549499,0
28/10/2021,92.25549499,0
29/10/2021,92.25549499,0
30/10/2021,92.25549499,0
31/10/2021,92.25549499,0
01/11/2021,92.25549499,0
02/11/2021,92.25549499,0
03/11/2021,92.25549499,0
04/11/2021,92.25549499,0
05/11/2021,92.25549499,0
06/11/2021,92.25549499,0
07/11/2021,92.25549499,0
08/11/2021,92.25549499,0
09/11/2021,92.25549499,0
10/11/2021,92.25549499,0
11/11/2021,92.25549499,0
12/11/2021,92.25549499,0
13/11/2021,92.25549499,0
14/11/2021,92.25549499,0
15/11/2021,92.25549499,0
16/11/2021,92.25549499,0
17/11/2021,92.25549499,0
18/11/2021,92.25549499,0
19/11/2021,92.25549499,0
20/11/2021,92.25549499,0
21/11/2021,92.25549499,0
22/11/2021,92.25549499,0
23/11/2021,92.25549499,0
24/11/2021,92.25549499,0
25/11/2021,92.25549499,0
26/11/2021,92.25549499,0
27/11/2021,92.25549499,0
28/11/2021,92.25549499,0
29/11/2021,92.25549499,0
30/11/2021,92.25549499,0
01/12/2021,92.25549499,0
02/12/2021,92.25549499,0
03/12/2021,92.25549499,0
04/12/2021,92.25549499,0
05/12/2021,92.25549499,0
06/12/2021,92.25549499,0
07/12/2021,92.25549499,0
08/12/2021,92.25549499,0
09/12/2021,92.25549499,0
10/12/2021,92.25549499,0
11/12/2021,92.25549499,0
12/12/2021,92.25549499,0
13/12/2021,92.25549499,0
14/12/2021,92.25549499,0
15/12/2021,92.25549499,0
16/12/2021,92.25549499,0
17/12/2021,92.25549499,0
18/12/2021,92.25549499,0
19/12/2021,92.25549499,0
20/12/2021,92.25549499,0
21/12/2021,92.25549499,0
22/12/2021,92.25549499,0
23/12/2021,92.25549499,0
24/12/2021,92.25549499,0
25/12/2021,92.25549499,0
26/12/2021,92.25549499,0
27/12/2021,92.25549499,0
28/12/2021,92.25549499,0
29/12/2021,92.25549499,0
30/12/2021,92.25549499,0
31/12/2021,92.25549499,0
01/01/2022,92.25549499,0
02/01/2022,92.25549499,0
03/01/2022,92.25549499,0
04/01/2022,92.25549499,0
05/01/2022,92.25549499,0
06/01/2022,92.25549499,0
07/01/2022,92.25549499,0
08/01/2022,92.25549499,0
09/01/2022,92.25549499,0
10/01/2022,92.25549499,0
11/01/2022,92.25549499,0
12/01/2022,92.25549499,0
13/01/2022,92.25549499,0
14/01/2022,92.25549499,0
15/01/2022,92.25549499,0
16/01/2022,92.25549499,0
17/01/2022,92.25549499,0
18/01/2022,92.25549499,0
19/01/2022,92.25549499,0
20/01/2022,92.25549499,0
21/01/2022,92.25549499,0
22/01/2022,92.25549499,0
23/01/2022,92.25549499,0
24/01/2022,92.25549499,0
25/01/2022,92.25549499,0
26/01/2022,92.25549499,0
27/01/2022,92.25549499,0
28/01/2022,92.25549499,0
29/01/2022,92.25549499,0
30/01/2022,92.25549499,0
31/01/2022,92.25549499,0
01/02/2022,92.25549499,0
02/02/2022,92.25549499,0
03/02/2022,92.25549499,0
04/02/2022,92.25549499,0
05/02/2022,92.25549499,0
06/02/2022,92.25549499,0
07/02/2022,92.25549499,0
08/02/2022,92.25549499,0
09/02/2022,92.25549499,0
10/02/2022,92.25549499,0
11/02/2022,92.25549499,0
12/02/2022,92.25549499,0
13/02/2022,92.25549499,0
14/02/2022,92.25549499,0
15/02/2022,92.25549499,0
16/02/2022,92.25549499,0
17/02/2022,92.25549499,0
18/02/2022,92.25549499,0
19/02/2022,92.25549499,0
20/02/2022,92.25549499,0
21/02/2022,92.25549499,0
22/02/2022,92.25549499,0
23/02/2022,92.25549499,0
24/02/2022,92.25549499,0
25/02/2022,92.25549499,0
26/02/2022,92.25549499,0
27/02/2022,92.25549499,0
28/02/2022,92.25549499,0
01/03/2022,92.25549499,0
02/03/2022,92.25549499,0
03/03/2022,92.25549499,0
04/03/2022,92.25549499,0
05/03/2022,92.25549499,0
06/03/2022,92.25549499,0
07/03/2022,92.25549499,0
08/03/2022,92.25549499,0
09/03/2022,92.25549499,0
10/03/2022,92.25549499,0
11/03/2022,92.25549499,0
12/03/2022,92.25549499,0
13/03/2022,92.25549499,0
14/03/2022,92.25549499,0
15/03/2022,92.25549499,0
16/03/2022,92.25549499,0
17/03/2022,92.25549499,0
18/03/2022,92.25549499,0
19/03/2022,92.25549499,0
20/03/2022,92.25549499,0
21/03/2022,92.25549499,0
22/03/2022,92.25549499,0
23/03/2022,92.25549499,0
24/03/2022,92.25549499,0
25/03/2022,92.25549499,0
26/03/2022,92.25549499,0
27/03/2022,92.25549499,0
28/03/2022,92.25549499,0
29/03/2022,92.25549499,0
30/03/2022,92.25549499,0
31/03/2022,92.25549499,0
01/04/2022,92.25549499,0
02/04/2022,92.25549499,0
03/04/2022,92.25549499,0
04/04/2022,92.25549499,0
05/04/2022,92.25549499,0
06/04/2022,92.25549499,0
07/04/2022,92.25549499,0
08/04/2022,92.25549499,0
09/04/2022,92.25549499,0
10/04/2022,92.25549499,0
11/04/2022,92.25549499,0
12/04/2022,92.25549499,0
13/04/2022,92.25549499,0
14/04/2022,92.25549499,0
15/04/2022,92.25549499,0
16/04/2022,92.25549499,0
17/04/2022,92.25549499,0
18/04/2022,92.25549499,0
19/04/2022,92.25549499,0
20/04/2022,92.25549499,0
21/04/2022,92.25549499,0
22/04/2022,92.25549499,0
23/04/2022,92.25549499,0
24/04/2022,92.25549499,0
25/04/2022,92.25549499,0
26/04/2022,92.25549499,0
27/04/2022,92.25549499,0
28/04/2022,92.25549499,0
29/04/2022,92.25549499,0
30/04/2022,92.25549499,0
01/05/2022,92.25549499,0
02/05/2022,92.25549499,0
03/05/2022,92.25549499,0
04/05/2022,92.25549499,0
05/05/2022,92.25549499,0
06/05/2022,92.25549499,0
07/05/2022,92.25549499,0
08/05/2022,92.25549499,0
09/05/2022,92.25549499,0
10/05/2022,92.25549499,0
11/05/2022,92.25549499,0
12/05/2022,92.25549499,0
13/05/2022,92.25549499,0
14/05/2022,92.25549499,0
15/05/2022,92.25549499,0
16/05/2022,92.25549499,0
17/05/2022,92.25549499,0
18/05/2022,92.25549499,2.361111111
19/05/2022,90.98009026,0
20/05/2022,93.09619751,0
21/05/2022,93.09619751,0
22/05/2022,93.09619751,0
23/05/2022,93.09619751,0
24/05/2022,93.09619751,0
25/05/2022,93.09619751,0
26/05/2022,93.09619751,0
27/05/2022,93.09619751,0
28/05/2022,93.09619751,0
29/05/2022,93.09619751,0
30/05/2022,93.09619751,0
31/05/2022,93.09619751,0
01/06/2022,93.09619751,0
02/06/2022,92.99441898,8.125
03/06/2022,93.43766117,8.715277778
04/06/2022,95.36727759,7.5
05/06/2022,93.43687914,8.541666667
06/06/2022,94.38315169,8.06712963
07/06/2022,94.97673671,9.895833333
08/06/2022,94.64209945,5.914351852
09/06/2022,93.01151612,7.314814815
10/06/2022,94.39722027,7.453703704
11/06/2022,95.0173971,5.694444444
12/06/2022,94.28662882,4.224537037
13/06/2022,96.03185893,9.363425926
14/06/2022,91.47564425,7.8125
15/06/2022,94.85436466,7.141203704
16/06/2022,93.11710806,9.375
