,S,STD
2016-01-16,101.44960021972656,5.871067881656753
2016-02-09,97.94658660888672,5.589759558830846
2016-02-21,97.57923126220703,8.511926614682285
2016-02-24,98.08689880371094,7.858326284910875
2016-03-04,89.66460418701172,5.642708506890296
2016-03-16,88.62918090820312,7.654853010017312
2016-03-28,95.19413757324219,5.117886598910492
2016-04-05,101.73513793945312,37.931987064320346
2016-04-09,88.47773742675781,26.6432314660275
2016-04-12,84.27474975585938,19.827000563995952
2016-04-17,107.3180160522461,27.455895963342098
2016-04-21,101.30696868896484,12.483602403962172
2016-04-24,78.84326934814453,24.157996047505463
2016-05-03,114.50228118896484,11.16517494626202
2016-05-15,162.591796875,8.534752965384822
2016-05-23,72.28491973876953,12.50680658224573
2016-06-01,100.41197967529297,10.387242203696788
2016-06-04,152.87652587890625,8.696109337329478
2016-06-08,196.59988403320312,6.600618951505016
2016-07-05,146.01577758789062,5.700473082156071
2016-07-10,133.54095458984375,6.206253069451229
2016-07-17,155.67115783691406,4.053674514227409
2016-07-26,127.69229125976562,3.34007620709659
2016-07-29,158.05784606933594,3.630402109370193
2016-08-07,99.08076477050781,4.059424749229036
2016-08-10,133.89125061035156,3.260837700127043
2016-08-15,115.0119400024414,6.010902874551435
2016-08-19,96.68767547607422,4.083843236640868
2016-08-27,140.42478942871094,5.3851680322386954
2016-08-31,95.86375427246094,9.358658811704688
2016-09-03,129.45420837402344,5.601506078888476
2016-09-08,70.30335998535156,8.922946099341722
2016-09-15,78.18437957763672,11.568178923950057
2016-09-20,81.369384765625,6.276383511263104
2016-09-24,98.44155883789062,11.312753862160367
2016-10-12,83.49153137207031,12.002893462365071
2016-10-14,74.40872955322266,13.300934942936237
2016-10-21,71.1329116821289,18.001956236075284
2016-10-26,78.40241241455078,18.28380329351147
2016-10-30,102.17180633544922,24.46449533410906
2016-11-02,56.56572723388672,27.36874587697097
2016-11-07,70.76597595214844,18.73718671931139
2016-11-11,84.1126708984375,17.745872392518546
2016-11-14,86.94993591308594,11.62984682864193
2016-11-17,93.41212463378906,11.908327947461357
2016-11-23,89.61229705810547,10.797463693179715
2016-11-26,81.74412536621094,12.5929212292197
2016-11-29,90.16852569580078,7.495820038302799
2016-12-05,93.83106231689453,14.46696695148942
2016-12-08,78.0431137084961,14.3076721457124
2016-12-13,78.3362808227539,14.947762791589152
2016-12-20,78.28071594238281,8.20494389155091
2016-12-25,90.67945861816406,9.001484936808627
2016-12-29,87.74372100830078,10.60848303284169
2017-01-01,81.94677734375,11.220300903459766
2017-01-04,85.29734802246094,7.756329127460579
2017-01-06,78.80538940429688,13.601744422974264
2017-01-13,80.75848388671875,10.103571134138386
2017-01-22,82.099365234375,12.411850684592643
2017-01-28,83.80757904052734,20.364545622585
2017-02-03,82.42980194091797,12.059627976971779
2017-02-06,86.22814178466797,4.767226757341733
2017-02-09,91.09314727783203,17.317484663919934
2017-02-12,84.51007843017578,4.815362481091654
2017-02-15,98.53388977050781,17.757685170953323
2017-02-18,81.12411499023438,6.4181570264912855
2017-03-05,93.10576629638672,9.449470958016954
2017-03-07,86.23223876953125,5.787529202540254
2017-03-11,89.38787078857422,6.927376948371272
2017-03-14,70.41202545166016,8.740353576193701
2017-03-17,89.05243682861328,18.682607741787
2017-03-19,90.04341888427734,14.383936522550917
2017-03-26,80.4732666015625,15.941467068273724
2017-03-29,85.62261962890625,14.292814407974188
2017-03-31,80.48944854736328,11.219899652093433
