,S,STD
2016-01-09,244.89886474609375,13.228165389830181
2016-01-16,267.70745849609375,15.809756571937022
2016-01-21,230.5214080810547,16.58235093685098
2016-02-02,234.98092651367188,12.023830865630035
2016-02-09,209.6646728515625,12.655402592959533
2016-02-14,261.4527587890625,13.174624945413887
2016-02-21,257.0104064941406,19.57294056438831
2016-02-24,186.1469268798828,14.168035598647311
2016-02-26,260.0902099609375,19.700191536885924
2016-03-04,274.20721435546875,11.234301117987368
2016-03-09,273.0325927734375,18.44366238450941
2016-03-16,204.46774291992188,14.706220120484112
2016-03-21,261.5069580078125,18.67977424609983
2016-03-28,269.94500732421875,11.455739436173658
2016-04-02,233.2895050048828,20.023070519770002
2016-04-05,234.49795532226562,53.79624539082151
2016-04-09,260.53961181640625,42.065562440956256
2016-04-12,195.91378784179688,43.987894323893485
2016-04-14,264.3558044433594,29.647646104114877
2016-04-17,299.04119873046875,40.136671212333766
2016-04-21,315.05712890625,22.54104406040976
2016-04-24,230.12423706054688,33.01932733082314
2016-04-29,285.29443359375,37.51860077845025
2016-05-03,327.9660339355469,16.674575859102916
2016-05-06,320.1505126953125,19.077202111322432
2016-05-11,304.55804443359375,16.968134906624996
2016-05-15,348.47174072265625,17.31530697793334
2016-05-18,283.4895324707031,18.740332967286623
2016-05-20,300.8837890625,19.6624136353201
2016-05-23,278.5640869140625,12.822997331812093
2016-05-27,225.66873168945312,12.420918667117114
2016-05-30,271.0637512207031,10.68601571289284
2016-06-01,315.7569274902344,14.982312774889689
2016-06-04,324.9903259277344,14.137592899578838
2016-06-08,354.27166748046875,14.187459465739861
2016-07-05,212.03553771972656,9.550842674960762
2016-07-10,220.5808868408203,8.589587260033642
2016-07-17,202.65609741210938,6.367019337363681
2016-07-22,224.84030151367188,5.527439415627191
2016-07-26,174.8273468017578,9.137888151776739
2016-07-29,190.75392150878906,5.784296199381197
2016-08-03,178.21466064453125,5.853746302658488
2016-08-07,165.4763946533203,7.654844504339812
2016-08-10,183.45164489746094,5.328923460974197
2016-08-15,199.27499389648438,6.411749685206537
2016-08-19,208.0204620361328,6.900457668210428
2016-08-27,151.0033416748047,10.240166075488789
2016-08-31,143.49098205566406,17.850258703726503
2016-09-03,197.72987365722656,10.296760903760529
2016-09-08,174.52078247070312,10.910620292160365
2016-09-12,189.1267547607422,14.978934096359078
2016-09-15,178.3599395751953,17.32027339362974
2016-09-20,155.8232879638672,9.17781101862515
2016-09-24,187.73410034179688,18.78937205801627
2016-09-27,147.78094482421875,14.160604436803883
2016-10-09,163.5556640625,28.10246818104473
2016-10-12,219.66409301757812,18.177128392400608
2016-10-14,116.23090362548828,22.399784029143337
2016-10-21,188.48373413085938,30.02638358346347
2016-10-26,225.80271911621094,29.922754658941585
2016-10-30,205.58676147460938,42.918610395496245
2016-11-02,160.0554656982422,41.00202214105975
2016-11-07,154.9603271484375,31.573913998930642
2016-11-11,179.0564422607422,31.80048433504446
2016-11-14,192.4835968017578,20.591007972448505
2016-11-17,220.0182647705078,17.925470625151966
2016-11-23,246.9069061279297,20.21141326971877
2016-11-26,199.8641357421875,24.73756764759166
2016-11-29,195.06309509277344,16.311337903449115
2016-12-05,218.464599609375,23.45780753237711
2016-12-08,188.37559509277344,22.28728089575553
2016-12-13,214.37464904785156,19.510795424359458
2016-12-20,226.9397735595703,12.596370591757399
2016-12-23,202.92588806152344,15.262595076956583
2016-12-25,202.37852478027344,13.286270071899512
2016-12-29,222.08267211914062,19.269265967605953
2017-01-01,235.1545867919922,21.88709927755334
2017-01-04,218.13681030273438,17.06199799208325
2017-01-06,180.47195434570312,21.965511992777422
2017-01-10,199.9488067626953,15.120676479656174
2017-01-13,233.3321990966797,18.34411152163661
2017-01-16,262.1543273925781,19.87527234565098
2017-01-22,186.3765869140625,21.492256782235415
2017-01-28,231.3337860107422,22.356995268176718
2017-02-03,258.5461730957031,17.38553041863559
2017-02-06,229.42347717285156,9.493003164148051
2017-02-09,224.05209350585938,20.316091199373894
2017-02-12,232.33534240722656,8.748512251230935
2017-02-15,278.06793212890625,20.506708755881796
2017-02-18,192.73712158203125,9.321790385462807
2017-03-05,260.0640563964844,17.996708706418662
2017-03-07,243.18934631347656,11.443293404765091
2017-03-11,199.57760620117188,11.727181286998757
2017-03-14,162.06195068359375,15.09388559058226
2017-03-17,221.6915740966797,30.28294501311595
2017-03-19,204.23931884765625,27.159174651358054
2017-03-26,200.6710968017578,25.260777141325264
2017-03-29,257.5225524902344,20.117074593987994
2017-03-31,202.11570739746094,15.212032510220087
2017-04-07,165.0423583984375,16.19420443501386
2017-04-10,246.16897583007812,19.446205936076232
2017-04-12,201.0722198486328,16.795593422568587
2017-04-16,280.7973327636719,16.312039385983624
2017-04-19,178.0843963623047,42.10997349703907
2017-04-22,259.2333679199219,36.11874397498984
2017-04-24,140.13951110839844,35.253635048524735
2017-04-28,241.03065490722656,35.77457716142565
2017-05-01,241.46621704101562,42.23902497615964
2017-05-04,258.1355285644531,55.56249359655298
2017-05-06,184.20875549316406,72.7941933637518
2017-05-10,328.5788879394531,31.87397587859205
2017-05-13,328.51214599609375,31.64757903305296
2017-05-16,354.6822814941406,15.692618360174205
2017-05-18,272.71112060546875,20.90599322611023
2017-05-22,337.87908935546875,13.444546538943126
2017-05-24,308.0845947265625,22.23971302359236
2017-05-25,302.4716796875,18.841872146612992
2017-05-28,269.02655029296875,15.75662479531466
2017-05-31,322.636474609375,15.318580872829255
2017-06-03,277.77117919921875,14.161218320094342
2017-06-06,281.6947937011719,14.57062735228195
2017-06-09,322.3672790527344,12.959493452000777
2017-06-12,294.5453796386719,14.71916602483833
2017-06-15,265.53509521484375,11.927827541724653
2017-06-21,270.472412109375,8.552438404192845
2017-06-24,280.5312194824219,11.198180802181524
2017-06-27,258.64739990234375,17.431926633064563
2017-06-30,253.38137817382812,9.475960042208087
2017-07-03,226.2362518310547,11.572439782415355
2017-07-06,267.8627014160156,7.608613225340353
2017-07-09,266.7151794433594,9.08512522306873
2017-07-12,276.216796875,7.301268340816465
2017-07-15,253.8772735595703,9.534919633634651
2017-07-18,247.38259887695312,5.091179498387397
2017-07-21,272.13800048828125,15.408464757514748
2017-07-27,207.76734924316406,11.207744216146674
2017-08-04,210.74688720703125,5.026339799163045
2017-08-08,175.8627166748047,6.946410324431229
2017-08-10,202.15509033203125,6.091128706792911
2017-08-11,206.15736389160156,5.362051244149679
2017-08-14,202.35072326660156,15.4878438851109
2017-08-16,193.30792236328125,12.68701051343687
2017-08-17,166.95294189453125,10.941522987305069
2017-08-20,205.81004333496094,12.24754880177899
2017-08-22,212.37222290039062,7.277964364161152
2017-08-23,205.32493591308594,8.140544620342217
2017-08-26,261.0367431640625,10.227055819502054
2017-08-28,235.5857696533203,7.999989324052429
2017-08-29,290.3848571777344,7.406219339185554
2017-09-01,241.12823486328125,8.059191199203106
2017-09-03,254.35479736328125,8.305433672515715
2017-09-04,208.12506103515625,9.267750423052508
2017-09-07,149.4470977783203,13.077709425469086
2017-09-09,200.24139404296875,10.011549968087714
2017-09-13,212.06163024902344,14.926834670666667
2017-09-15,253.681884765625,11.386731875330398
2017-09-16,247.7550048828125,14.833237866897061
