,S,STD,repeat_time
2022-05-08,2885.20166015625,27.700220108032227,12.0
2022-05-11,2669.456787109375,23.821565628051758,12.0
2022-05-20,2966.21435546875,34.7182502746582,12.0
2022-05-23,2717.861083984375,31.939430236816406,12.0
2022-06-01,2957.46142578125,39.922943115234375,12.0
2022-06-04,2859.58203125,39.550140380859375,12.0
2022-06-11,3160.390625,25.858680725097656,12.0
2022-06-13,3204.051513671875,27.59187126159668,12.0
2022-06-16,3000.0380859375,14.141855239868164,12.0
2022-06-25,3346.6923828125,23.78097152709961,12.0
2022-06-28,3264.75,14.623839378356934,12.0
2022-07-07,3277.373046875,25.890947341918945,12.0
2022-07-10,3277.1162109375,13.233051300048828,12.0
2022-07-17,3281.630615234375,13.786283493041992,12.0
2022-07-19,3196.552001953125,23.95334815979004,12.0
2022-07-22,3020.7705078125,13.122126579284668,12.0
2022-07-31,2989.91748046875,19.757543563842773,12.0
2022-08-03,3059.787353515625,12.86678409576416,12.0
2022-08-10,2939.592529296875,21.804580688476562,12.0
2022-08-12,2874.382568359375,19.577442169189453,12.0
2022-08-15,2781.93896484375,10.870830535888672,12.0
2022-08-24,2911.186279296875,19.308517456054688,12.0
2022-08-27,2825.443603515625,12.865200996398926,12.0
2022-09-05,3128.00634765625,20.004100799560547,12.0
2022-09-08,3079.45458984375,11.07776165008545,12.0
2022-09-15,2934.654541015625,18.26767349243164,12.0
2022-09-17,2914.088623046875,18.86711311340332,12.0
2022-09-20,2917.194580078125,11.445169448852539,12.0
2022-09-27,2937.952392578125,15.739267349243164,12.0
2022-10-02,2758.69580078125,12.56792163848877,12.0
2022-10-11,2621.471923828125,22.64084815979004,12.0
2022-10-14,2691.502197265625,17.0263614654541,12.0
2022-10-23,2641.716064453125,26.034526824951172,12.0
2022-10-26,2640.08544921875,21.09749984741211,12.0
