time,2022,2021,2020,2019,2018,2016,2015
19/02/2022,9.15E-07,7.95E-07,7.96E-07,3.18E-06,6.21E-07,1.30E-06,3.98E-07
20/02/2022,5.55E-07,1.25E-06,1.08E-06,1.98E-06,1.00E-06,3.58E-07,9.57E-07
21/02/2022,1.19E-06,3.74E-07,4.36E-07,7.76E-07,8.52E-07,4.99E-07,1.52E-06
22/02/2022,3.45E-07,1.98E-06,5.24E-07,7.00E-07,8.37E-07,1.12E-06,4.07E-07
23/02/2022,4.52E-07,1.92E-06,1.33E-06,1.09E-06,5.02E-07,8.59E-07,5.57E-06
24/02/2022,7.65E-07,5.84E-07,5.44E-07,3.48E-07,1.58E-07,8.86E-07,1.70E-06
25/02/2022,6.23E-07,1.15E-06,5.79E-07,7.80E-07,1.10E-06,5.71E-07,5.75E-07
26/02/2022,5.86E-07,6.16E-07,4.20E-07,9.00E-07,2.02E-06,1.75E-06,6.80E-07
27/02/2022,1.20E-06,9.68E-07,7.96E-07,2.03E-06,1.86E-06,3.99E-06,3.48E-06
28/02/2022,3.52E-06,1.94E-06,4.37E-07,4.14E-06,1.05E-06,3.76E-06,1.94E-06
01/03/2022,4.33E-06,2.62E-07,3.46E-07,3.01E-06,2.78E-06,1.05E-06,6.72E-07
02/03/2022,2.22E-06,5.73E-07,7.03E-07,7.03E-07,2.25E-06,4.34E-07,8.22E-07
03/03/2022,5.25E-07,2.64E-06,3.49E-07,4.58E-05,2.08E-06,1.39E-06,4.81E-07
04/03/2022,1.42E-06,8.35E-07,6.48E-07,7.18E-07,2.15E-07,1.46E-07,0.000198301
05/03/2022,1.76E-06,1.20E-06,8.23E-07,9.89E-07,9.81E-07,6.02E-07,1.06E-06
06/03/2022,3.81E-06,2.39E-06,5.44E-07,2.30E-06,6.86E-07,6.73E-07,1.70E-06
07/03/2022,2.04E-07,1.33E-06,7.16E-07,3.26E-06,6.93E-07,8.32E-07,6.63E-07
08/03/2022,5.76E-07,1.02E-06,4.56E-08,2.91E-07,2.47E-06,7.05E-07,1.46E-06
09/03/2022,3.68E-07,5.44E-07,1.21E-06,1.36E-06,8.19E-07,1.64E-06,1.88E-06
10/03/2022,7.64E-07,6.32E-06,4.44E-07,1.38E-06,1.45E-06,8.33E-06,1.37E-06
11/03/2022,9.50E-07,3.09E-07,7.48E-07,3.32E-07,1.17E-06,1.42E-06,3.05E-07
12/03/2022,,7.90E-07,6.21E-07,3.67E-07,5.43E-07,3.56E-07,9.58E-07
